;Clothing.ID;Age;Title;Review.Text;Rating;Recommended.IND;Positive.Feedback.Count;Division.Name;Department.Name;Class.Name,,,,,,,,,,,,
68;862;40;Beautiful top;Love this top! i kept eyeing it online and wavering on size, since my post-baby body is a little wonky. i went with the xsp, and miraculously, it works perfectly! so, i would say it does run just a little large..... i love the length, and usually do not go with petite sizes at retailer because i like the longer lengths of the regular. but this is perfect on me, and there is give up top, so it looks lovely. and it is very soft and comfortable. this will be a go-to top this season!;5;1;1;General;Tops;Knits,,,,,
69;862;37;I wanted to love this top...;I really loved this top online and wanted to love it in person. it is soft and the patter is okay in person. the neckline is higher than i am used to. also, there are two buttons in the back that must be unbuttoned in order to wear the top. it is difficult to button them behind your neck with the top on. unfortunately i had to return this item...;2;0;0;General;Tops;Knits,,,,,,,,,,,
70;1078;56;Great summer fabric!;I really wanted this to work. alas, it had a strange fit for me. the straps would not stay up, and it had a weird fit under the breast. it worked standing up, but the minute i sat down it fell off my shoulders. the fabric was beautiful! and i loved that it had pockets.;3;0;1;General Petite;Dresses;Dresses,,,,,,,,,
71;845;38;Cute," but massive sweep;""This top is so cute"," but it is massively babydoll shaped (a- line) which is not apparent from the pictures. i measured the xs i have and the chest is about 42"""" and sweep is over 70"""". i would definitely keep this top if it hung straighter. the craftsmanship is lovely and fabric is so natural and handwoven looking. i'm thinking about asking my tailor if she can take the sides in"," but that might ruin it as the fabric layout is cut and proportioned to this swing style."";4;1;10;General Petite;Tops;Blouses",,,,,,,,,
72;822;36;Short and boxy;Why do designers keep making crop tops??!! i can't imagine this would be flattering on anyone, especially someone average height and well endowed on top. i looked like a football player. the pattern and fabric are gorgeous, so if you are like 4' tall and super tiny and can fit xxs this may work? i am between a 6-8 and fit a small and it was huge on me and almost was bigger at the bottom than the top. such a weird cut. there is a cami underneath so if it rides up that will show but that is so 80s;2;0;0;General;Tops;Blouses,,,,,,,,,,
"73;850;27;Beautiful design;""I have a short torso and this works well for me. 34c", bought the 0. there's not much stretch to the fabric so it is fitted to my chest, but not in an uncomfortable way. definitely doesn't hang and have extra fabric like on the model. ,,,,,,,,,,
,,,,,,,,,,,,
zipper goes almost all the way down to the bottom so it's easier to get on and off which makes up for the lack of stretch n the fabric.,,,,,,,,,,,,
,,,,,,,,,,,,
unlike another reviewer," i found it went really well with navy pants and i wore it to a business meeting under a blazer. wi"";5;1;4;General;Tops;Blouses",,,,,,,,,,,
74;866;47;;I love this top. it is loose and comfortable. it is not sheer so you don't need a cami. it runs a little large so size down if you want a more tailored fit. 1 criticism, it catches on sharp jewelry or belts and can pull if you are not careful.;4;1;0;General Petite;Tops;Knits,,,,,,,,,,,
75;1081;59;;I passed up this dress so many times in the store and finally tried it on today because i wanted a casual dress while traveling in the cape. i was surprised how much cuter it is on than on hanger. i sized down to get a more fitting look and really made a difference for me in style. i was not a fan of the way it looked so loose on model. it looks really cute fitted and a bit sexy even. it is lined and very comfy and can be dressed up a but for work with a cardi. i believe i will get a lot of wear;5;1;1;General Petite;Dresses;Dresses,,,,,,,,,,,,
"76;845;48;Very very cute but a lot of fabric;""I am so drawn to baby doll and boxy shirts so i immediately tried this on in the store. i am petite and only 5'2""""", so usually shirts with a lot of fabric swallow me whole but this one was still cute. there is a lot more fabric than the picture lets on," but i think it is still super cute and flattering. i would definitely check the size chart and read comments to see if someone with your same size description has recommended a specific size for your body type. i am petite and weigh about 110 lbs"";5;1;5;General Petite;Tops;Blouses",,,,,,,,,,
77;1082;31;Runs large in top and waist;I would have loved this dress if the bust and waist were just a little more fitted. i am 32c and the top was too big. fit perfectly on hips. the lace material means it cannot be easily altered, so i chose to return the dress. i would have definitely kept it if it were a better fit.;4;1;0;General;Dresses;Dresses,,,,,,,,,,,
78;850;28;Zipper broke;The zipper broke on this piece the first time i wore it. very disappointing since i love the design. i'm actually going to try to replace the zipper myself with something stronger, but annoying that it's come to that.;2;0;0;General Petite;Tops;Blouses,,,,,,,,,,,
79;836;47;Obsessed;I usually size up with this brand. small was perfect for me at 135lbs. this top has a luxurious but casual feel and beautiful. i am obsessed and want to wear it everyday. it wears a little long and drapey but a little tight where it rolls up in the arms.;5;1;1;General;Tops;Blouses,,,,,,,,,,,,
80;1081;62;So cute...but dry clean?!;This dress is adorable - it's a perfect casual look for summer and the quality is nice with the lining (though still overpriced, in my opinion). the tie detail is somewhat adjustable, and i found my normal size s to fit fine (5'7, 128#). where this gets me is the fact that it's dry clean...totally doesn't make sense for a dress that is essentially a fancy tshirt for summer. i might bring it back for that alone, since i originally planned to wear it a lot. :(;4;1;2;General Petite;Dresses;Dresses,,,,,,,,
"81;1072;68;Elegant classic dress;""I am usually a petite 6 but since this dress did not come in petites i tried on 4 and it fit. i'm 5'1"""" -112lbs so dress hit rt below knee -will have it hemmed up a bit do not so overwhelming.",,,,,,,,,,,,
,,,,,,,,,,,,
this dress looks stunning on! great vibrant color ( i have dark hair) makes this classic elegant dress look contemporary and stylish. when i tried it on in store, salesperson and others who happen to see it on me raved and told me to grab it! i did and am glad.,,,,,,,,,,,
,,,,,,,,,,,,
"i plan to wear it this spring for my daughte"";5;1;1;General;Dresses;Dresses",,,,,,,,,,,,
82;863;61;;Loved this top. great design. comfortable and unique. soft material;5;1;4;General Petite;Tops;Knits,,,,,,,,,,,,
83;1133;33;Cute parka!;The rest of the reviewers are right about the color being in accurately pictured. i ordered the dark orange color and i recieved more of a dark cedar brown colored jacket. the print is great, i love it! it's so different than any other jackets ive seen. while the jacket is ã¼ber cute, it is a bit bulky (though the waist tie helps with that) and its not heavy winter appropriate ( it's not waterproof or heavily insulated). for your average winter day though, it will be a fun option! the removable v;5;1;0;General;Jackets;Outerwear,,,,,,,,,
84;822;68;Just lovely;I purchased this top in an antro store last week. the quality is wonderful and the greenish blue color is very unique. the blouse has a beautiful stretchy camsiole that is attached at the shoulders, but can be removed by snaps. i tooks great when worn two different ways. i wore it with the campole out, and it peeks through the blouse at the bottom. it also looks great when the camisole is worn in. my only wish is that it would come in a petite size as it's a touch big at the shoulders and neckli;5;1;3;General;Tops;Blouses,,,,,,,,,,
85;861;37;Casual & unique tee;I received this shirt in my typical xs and it fits perfectly. i?m not crazy in love with it but i also don?t dislike. the shirt is on the thin side. do i need to wear a cami underneath it, no. my concern is holes. it does remind me of a material that could develop some holes after some wear and washes. with that being said i?ll wash this shirt in cold water and hang dry and hopefully that will prevent holes from developing. the length is fine and i do like the slits in front?it adds a little dim;3;1;0;General Petite;Tops;Knits,,,,,,,,,,,
"86;866;58;;""I was really hoping to like this", but it did not look the way it does on the model," at least not on me. the sharkbite hem is much more pronounced and looser. the one in the photo looks like it was pinned back. i am 5'8"""" and usually wear a medium or large. i got a medium and there was a lot more material on the bottom half than the photo shows. it made me look bigger and was not flattering. material has a nice weave but it's thin and delicate. i bought the (holly) deep olive and the blue. colors"";1;0;2;General Petite;Tops;Knits",,,,,,,,,,
"87;850;39;Neutral blue;""I tried this on from the sale section", and they only had a 2 (i usually do 0), and surprisingly, that size was the right fit. it is fitted, with just enough room to eat :-) ,,,,,,,,
te blue is a light blue, almost neutral, with the white embroidery, i think it looked stylish, and decided to keep it. the peplum part hit just in the right spot," i am short (petite) but my torso is normal size..."";4;1;0;General Petite;Tops;Blouses",,,,,,,
"88;1081;39;True to size to large;""I debated n that as i think it looks loose on the model", but if i was to tighten it, it looks a lot more flattering... i tried on the xs in the store (i usually do that to decide if i need petite), and it looked huge, when we pinched the back to see if xxs would work, it was a lot of fabric, and looser didn't look as good on me... but i like the dress overall, so still recommend. and for those who like the looser look, this is great. i would, however," order eptite for 5'1.5"""". (115 lbs"," 03 dd che"";4;1;9;General Petite;Dresses;Dresses",
89;845;38;Huge;Really cute piece, but it's huge. i ordered an xxs petite and it was unfortunately extremely wide and not flattering. returning.;2;0;4;General Petite;Tops;Blouses,,,,,,,,,,,
90;836;24;Pretty," but not for me...;""I bought this top online in the burnt orange color and was so excited to get it. when i tried it on", the fit was fine but it just lacked...something. the back was a little bit too long, the front was a little bit too short and it lacked the overall tailored look that i was after. gorgeous fabric and top," but not for me. i wanted something more for $150! bought the velvet tunic instead ;)"";4;1;3;General;Tops;Blouses",,,,,,,,
91;1078;51;Sweet flattering dress;I love cute summer dresses and this one, especially because it is made out of linen, is unique. it is very well-made with a design that is quite flattering. i am 5 foot 6 and a little curvy with a 38 c bust and i got a size 10. it fits well although it is difficult to zip up because the material has no give. the perfect dress to wear to italy or france! now i just have to book my tickets!;4;1;0;General Petite;Dresses;Dresses,,,,,,,,,,
92;850;29;;This top is so much prettier in real life than it is on the model. the pattern and texture are both lovely, and the peplum is surprisingly flattering. it is definitely on the short side, but i think that gives it a modern look. the fabric does not stretch at all, but i still think it fits tts. if you have a very large chest you may want to go up a size, but otherwise i would order your normal size.;5;1;5;General Petite;Tops;Blouses,,,,,,,,
93;861;23;;;5;1;0;General Petite;Tops;Knits,,,,,,,,,,,,
94;1081;31;;;5;1;0;General;Dresses;Dresses,,,,,,,,,,,,
95;850;23;Beautifully made, but not versatile;This shirt caught my eye because of how beautiful it was. i love the shape, design, and and the color. it's perfect for spring and summer with some white pants. unfortunately, i don't see any possibilities for this shirt to be worn any other way. so far, it doesn't work with any of my jeans, skirts, or shorts. i usually prefer items with more versatility for outfits, so i'm still on the fence if i'm going to keep it or not. with that aside, it seriously is a great quality shirt with a beautiful;4;1;3;General Petite;Tops;Blouses,,,
"96;863;83;Casual elegance!;""Purchased this top online", and when i received it was very pleased.,,,,,,,,,,,
it has and elegant cut and yet is a casual fabric.,,,,,,,,,,,,
love that the sleeves run longer......ads to the overall look.,,,,,,,,,,,,
also loved the v neckline.........enhances the feel of the overall style.,,,,,,,,,,,,
with various necklaces this top has limitless options!,,,,,,,,,,,,
the color states moss....which i usually think of as greenish brown......i found it to be more of a taupe.,,,,,,,,,,,,
would have liked it to have a green tones," however it is still a fantastic f"";5;1;14;General;Tops;Knits",,,,,,,,,,,
"97;845;44;;""I usually wear a medium and bought a small. it fit ok", but had no shape and was not flattering. i love baby doll dresses and tops," but this was a tent. my daughter saw me try it on and said """"that's a piece of tablecloth."""" it's going back."";1;0;0;General Petite;Tops;Blouses",,,,,,,,,,
98;861;44;Huge;I was very excited to order this top in red xs. so cute, but it was huge, shapeless and support thin! it had to go back. i should've looked at other reviews.;1;0;0;General Petite;Tops;Knits,,,,,,,,,,
99;1133;50;;;5;1;0;General;Jackets;Outerwear,,,,,,,,,,,,
100;861;33;Pernette henley;I am in need of easy comfortable tops for everyday wear. i bought this top mostly because of the cute buttons. when i received it, it looked exactly as it does in the picture online, however, the buttons kept slipping out of their homes because the holes were slightly too big. the shirt fit but was just a tad snug near the upper arms, which would stretch and loosen up throughout the day. it's definitely a comfortable shirt, but it felt more like a pajama top. it's going back.;3;0;17;General Petite;Tops;Knits,,,,,,,
101;861;39;Comfy;At first i wasn't sure about it. the neckline is much lower and wavy than i thought. but after wearing it, it really is comfortable. it stretches a lot, so i wear a cami underneath so when i lean forward i'm not showing the world my torso.;4;1;0;General Petite;Tops;Knits,,,,,,,,,,
102;863;40;Simple, stylish, lovely-runs a bit big;I find that this brand can be a little bit all-over-the-place with sizes. had i tried this on in person i may have bought it in a small instead of a m. despite being a bit big it still looks great and hides my flaws well. i bought a m in another shirt from them (the seamed scoop neck) and that shirt was a full 2 inches smaller in the bust than this. just something to keep in mind. still a great shirt, love the neutral color.;4;1;5;General;Tops;Knits,,,,,,,,,
103;822;69;Stunning lace top;This top is absolutely stunning. i purchased the white one. just received and it fits nicely-a little on the big side but i believe it looks better that way. this will look great with everything. it is well constructed and looks very unique. love it!;5;1;2;General;Tops;Blouses,,,,,,,,,,,,
104;822;23;Not a fan;The fabric felt cheap and i didn't find it to be a flattering top. for reference i am wearing a medium in the photos and my measurements are 38-30-40.;2;0;9;General;Tops;Blouses,,,,,,,,,,,,
105;863;51;;Runs big and looked unflattering. i am petite, might work on someone taller.;2;0;0;General;Tops;Knits,,,,,,,,,,,
"106;836;66;Excited ... but ...;""I bought this lovely silk/velvet shirt in the &quot;sky&quot; color but it is more on the teal blue side than sky blue"," which disappointed me. it is definitely darker than appears in photo. still a luxurious well-made beauty with sassy appeal. it drapes like a snake slithering down your body. it comes with attitude."";5;1;0;General;Tops;Blouses",,,,,,,,,,,
107;836;47;Beautiful shirt but runs small!;Was so excited to order this beautiful shirt!  and the color sky is gorgeous!  but as another reviewer said--it runs small.  it was also way too short.  so sadly i will be returning this.  i gave it 5 stars because it is beautiful and great quality--it just didn't fit me.;4;1;11;General;Tops;Blouses,,,,,,,,,,,,
108;836;66;Beautiful;I ordered ivory in xl because this brand tends to run tight if you're well endowed. it's a beautiful color and i love the contrasting plaid lining the inside of the collar and cuffs. haven't decided about keeping it because it looks oversized (but cozy) and it's really long. it almost touches the top of my knees in back. sooooo pretty though.;4;1;0;General;Tops;Blouses,,,,,,,,,,,,
109;836;23;Perfect fall shirt!;The shirt is exactly as it is pictured, i have the burnt orange color and love it! i received numerous compliments both paired with jeans and tucked into a fun skirt. it fits true to size, as i normally wear a small in all retailer however it is the slightest bit tight in the shoulders. i would give this top a 5/5.;5;1;3;General;Tops;Blouses,,,,,,,,,,
110;1081;47;;Perfect dress for hot, humid, sticky weather.;5;1;0;General;Dresses;Dresses,,,,,,,,,,
111;861;44;Poor quality;This is so thin and poor quality. especially for the price. it felt like a thin pajama top. the buttons are terrible little shell buttons. this could not have been returned faster.;1;0;11;General Petite;Tops;Knits,,,,,,,,,,,,
"112;1081;44;An almost for me...;""I didn't end up keeping this dress...it just wasn't right for me. it is very cute and fit well but the fabric was very thin (partially lined which is a plus) and the hem line coming up on the sides made it just too short for me. i ordered the petite xs and liked the length in front and back well but the side slit/vent was just too high for my liking. the tie part hit at the perfect spot for me at only 5'4"""" (~118#). i guess i just didn't """"love"""" it and would rather save my funds for something i ca"";3;1;4;General;Dresses;Dresses",,,,,,,,,,,,
113;836;50;Beautiful, stunning," cozy top!;""I read the first review on this and ordered both a small and a medium as i thought this would run small. i have to totally disagree with the reviewer! i find that this top runs true to size or even generous! the sky color is so pretty and this top can be dressed up with some nice heels and a necklace or it can be comfy casual! i usually wear a small in hh brand and this one was true to fit (5""""2""""", broad shoulders," 120 lb)"";5;1;24;General;Tops;Blouses",,,,,,,,
"114;1081;61;Cute and comfy;""This dress is comfortable and stylish at the same time. it runs true to size. i'm 5'1"""" 113 lbs and got the xs petite. wore it once so far for a few hours and got a few compliments on it!"";5;1;3;General;Dresses;Dresses",,,,,,,,,,,,
"115;1082;32;Disappointing quality;""The design/shape of the dress are quite flattering", flirty and feminine. but.... there is no way that the dress i received is new. the color is a faded washed out red and there are black stains all over the belt area. there is no tag... the fabric looks droopy and laundered and is not crisp, stiff or new. i am very disappointed by the quality of the item that i received. undoubtedly this one is going back.,,,,,,,,,,
,,,,,,,,,,,,
"dear retailer - please make sure that you do not send pre-owend clothing articles to"";2;0;0;General;Dresses;Dresses",,,,,,,,,,,,
116;863;52;Cute tee;This one totally worked for me. love the color, length, and style.;4;1;0;General;Tops;Knits,,,,,,,,,,
"117;1072;51;Very vintage feel;""Prior reviewer nailed it with the summary of this dress. it definitely needs heels. i'm 5'4""""", 120#," 34d and this is a size 36. i usually wear a size s or 4 with most retailer stuff."";4;1;1;General;Dresses;Dresses",,,,,,,,,,
"118;1078;32;;""This is the perfect summer dress. it can be dressed up or down. the quality of the linen fabric is very nice. i'm 5'1"""" and it hit right below my knees. i found it to run true to size. those with a smaller bust might want to go down a size"," but the tie in the front can be adjusted. it's lovely."";5;1;2;General Petite;Dresses;Dresses",,,,,,,,,,,
119;850;37;Awkward fitting;First, the fabric is beautiful and lovely for spring and summer. i really wanted to like this top, but the fitting is so awkward for me. i typically where a 0/xs, and sized up in the shirt to a size 2. it was very tight and pulled funny across the chest (size 32/a). i also found the cut at the shoulders very narrow (need a strapless bra) and made it look unflattering overall. had to return this one back to the store.;2;0;0;General;Tops;Blouses,,,,,,,,,
"120;836;54;Cozy casual - perfect for fall;""The color is perfect for fall and into winter. only the inside collar on the photo shows the subtle plaid lining. the lining was an unexpected bonus", and adds even more dimension to the shirt if the sleeves are turned up.,,,,,,,,,,,
the fit is true to size and the 'stressed' velvet fabric is current for this season.,,,,,,,,,,,,
"i'm going to enjoy wearing this shirt."";5;1;4;General;Tops;Blouses",,,,,,,,,,,,
121;861;33;The perfect striped t;The perfect striped t-shirt, and the cute little buttons down the front are a wonderful accent with each one being different. i love it!;5;1;0;General Petite;Tops;Knits,,,,,,,,,,,
122;966;63;;Great look and you can wear this vest with almost everything . i normally wear a small but they only had mediums and it fit fine( i like it tied). this will stay in my closet all year round . it does look like it will wrinkle easily but that doesn't bother me . a must buy !;5;1;0;General;Jackets;Jackets,,,,,,,,,,,,
123;1196;29;;This is a great pull over dress that can easily be dressed to wear to work, to a bbq, or to happy hour. i have a large chest which sometimes makes this fit look like a tent but this fabric drapes nicely. the only thing i would note is the neckline was slightly higher on me than for the model.;5;1;0;General Petite;Dresses;Dresses,,,,,,,,,,
"124;836;24;So beautiful! gorgeous orange color!;""After reading the previous reviews"," i ordered a size larger. i am so glad i did it! it fits perfectly! i am 5'4""""/115/32dd and went with the s regular. so beautiful! i can't wait to wear it!"";5;1;0;General;Tops;Blouses",,,,,,,,,,,
125;923;50;Lovely top," not lovely shape;""I was so excited to try out this top since it was such a bargain and neutral. unfortunately"," the shape is """"a"""" line and accentuates the hip area a bit more than i find flattering. so"," it will be returned."";3;0;2;General;Tops;Sweaters",,,,,,,,,
126;1072;34;Wonderfully made," poorly designed for busty gals;""Like others reviewers mentioned on here", this dress is extremely well made. but there were too many cons for me, as well. this would most certainly work on a petite/shorter frame, but for tall, busty, and curvier girls, it just sits wrong on all places unfortunately. the color is lovely along with the nice collar that ties in the back really made this dress stand out.,,,,,
,,,,,,,,,,,,
however," i'm a 36c and found that the arm/shoulder part so large and bulky that is made me look bigger on top. there was entirel"";3;1;1;General;Dresses;Dresses",,,,,,,,,,,
"127;1133;71;;""I read the previous reviews and had hoped that the exclamations about the color being inaccurate were exaggerated- however they are sadly very true. let me be clear that this is a beautiful", comfortable piece of clothing- when you put it on it feels thick and of very good quality. and while the pattern is interesting and pretty," the """"dark orange"""" color i was expecting is actually a mud brown. i think it's unfortunate that retailer misrepresented such a key element of the jacket"," but i digress. the"";4;1;0;General;Jackets;Outerwear",,,,,,,,,
128;1133;30;;This coat is beautiful! i love the color and the design. it definitely runs a little large. i usually wear a small or a zero and i can wear a small wth a large sweater underneath no problem. i might have wanted an extra small but i just stuck with the small because i needed the coat already. the vest keeps it warm, but the sleeves aren't lined so it's cold unless you have a nice sweater underneath it if you're going to be in cold weather.;5;1;0;General;Jackets;Outerwear,,,,,,,,,,,
